x,y,theta,stamp
-3.1843460206577134,-0.18849461858746835,2.7403966109905227,420.587
-3.184346043661074,-0.18849460893287054,2.740396609447674,420.621
-3.184346064816669,-0.18849459978604075,2.740396608380551,420.655
-3.18434606321729,-0.18849460061133919,2.7403966072778676,420.689
-3.1855067433535194,-0.18800291535755465,2.741329140934301,420.723
-3.19260974653984,-0.18512868175590194,2.7823623865886615,420.825
-3.2047413202386226,-0.18125130184999513,2.8886801522990564,420.927
-3.22228272699268,-0.17824324965335664,3.0602636239157808,421.029
-3.2439624085754577,-0.1788783616936526,-2.998183269574102,421.131
-3.2652334880766563,-0.1843890564462547,-2.7763408557971325,421.233
-3.2848095226996303,-0.19441105821714164,-2.562188218268441,421.335
-3.2965137330721808,-0.20327785172785684,-2.421470052005177,421.403
-3.311631282757094,-0.21933916290090363,-2.2334638554582273,421.505
-3.3237542361560655,-0.23782718265645272,-2.06792484327495,421.607
-3.3329337639706766,-0.25799688141759464,-1.925285128789128,421.709
-3.3392613363981716,-0.278820544744356,-1.7977955913962897,421.811
-3.3429693295906597,-0.3002871517792083,-1.6843577579390332,421.913
-3.344353947426268,-0.32156269441515123,-1.588507519503151,422.015
-3.343862371909343,-0.34336795977304535,-1.5119301888571228,422.117
-3.341899625198435,-0.36547549694460324,-1.4552080833237127,422.219
-3.3387938084278215,-0.387587518050884,-1.4108909076813996,422.321
-3.336237832913402,-0.40227362353206314,-1.3857824417918012,422.389
-3.331823399198373,-0.4242005159953488,-1.3580399542258095,422.491
-3.326873832387236,-0.4460411639433268,-1.3376366848244545,422.593
-3.3215289333048674,-0.46780179378602643,-1.3223393889710349,422.695
-3.315892193767842,-0.4894995317343672,-1.3109011304264475,422.797
-3.310027992495157,-0.511144686050269,-1.3017913941358312,422.899
-3.3039958114062027,-0.5327519363289649,-1.2953056930090108,423.001
-3.2978471681659443,-0.5543346383195701,-1.2915035909092596,423.103
-3.2916245858978797,-0.5758983335638896,-1.2886895898357613,423.205
-3.2853546288564517,-0.597441925285199,-1.2867976776046575,423.307
-3.2790552996701168,-0.6189704533094756,-1.2856590886952757,423.409
-3.2727376092379545,-0.6404942174718256,-1.285024896193451,423.511
-3.2685196105476115,-0.6548437650216133,-1.284780363712451,423.579
-3.2621875631992374,-0.676369727352275,-1.2846409844644882,423.681
-3.255853800008662,-0.6978986091779505,-1.2846672963089691,423.783
-3.2495208231151387,-0.7194310093894917,-1.284814147245143,423.885
-3.243190627503865,-0.7409675290392495,-1.2850106398041647,423.987
-3.236865641868242,-0.7625017453923109,-1.2852192966347824,424.089
-3.2305465621559306,-0.7840313973433389,-1.285435460455619,424.191
-3.2242325251898887,-0.8055596650385216,-1.2856406886677958,424.293
-3.2179216237401445,-0.8270921536034432,-1.28583143128427,424.395
-3.211613234358343,-0.8486298731464721,-1.286000765129734,424.497
-3.205307596448176,-0.8701704457470405,-1.2861486758596181,424.599
-3.2011058252191575,-0.8845300630615736,-1.2862387334293344,424.667
-3.194806325087024,-0.9060667360084659,-1.2863533436052288,424.769
-3.1885097034475636,-0.9276019291522785,-1.2864499767781703,424.871
-3.1822145623504268,-0.9491391819812737,-1.286530201750015,424.973
-3.175920148940638,-0.9706799567050973,-1.2865966696956925,425.075
-3.1696268306747273,-0.992222216232623,-1.2866486795978653,425.177
-3.163335135266199,-1.0137631346941949,-1.286692479209775,425.279
-3.1570450416266307,-1.0353020816361942,-1.2867279828450586,425.381
-3.150755875081611,-1.0568407756866505,-1.2867560439027819,425.483
-3.1444669039290267,-1.0783812014227345,-1.2867781518965216,425.585
-3.140274268000396,-1.092742590284637,-1.286790690325574,425.653
-3.133985611244594,-1.1142851232377473,-1.2868053513470759,425.755
-3.127697680864436,-1.135826630625067,-1.2868166879722396,425.857
-3.1214104898813733,-1.157366804179824,-1.2868253835224646,425.959
-3.1151236052445057,-1.1789068971662682,-1.2868320708391647,426.061
-3.1088366241404497,-1.2004481358539032,-1.2868368137250161,426.163
-3.102549531897179,-1.2219904004826807,-1.2868405336101407,426.265
-3.096262614853944,-1.2435325922677987,-1.2868432758986554,426.367
-3.089976082775161,-1.2650738845207699,-1.2868452033403244,426.469
-3.0836898215679835,-1.286614573158681,-1.2868465413437067,426.571
-3.0774035572853204,-1.3081555260261806,-1.2868474455093106,426.673
-3.0711171223796714,-1.32969725531938,-1.2868480326057035,426.775
-3.0669261211927124,-1.3440586453293157,-1.2868483127524246,426.843
-3.060639691396776,-1.36560058025462,-1.286848538001033,426.945
-3.054353440898068,-1.387141978535805,-1.2868486293004813,427.047
-3.0480672903404233,-1.4086830822865972,-1.2868486279031126,427.149
-3.0417811028383364,-1.4302243298419903,-1.2868485720223357,427.251
-3.035494796694244,-1.4517659881771672,-1.2868484754815894,427.353
-3.029208426347375,-1.4733078539688733,-1.286848367633485,427.455
-3.0229221014956806,-1.494849541639642,-1.2868482519143398,427.557
-3.0166358573815466,-1.5163909196630703,-1.286848136648824,427.659
-3.0103496544708612,-1.5379321136670105,-1.2868480301866585,427.761
-3.006158823712853,-1.5522929843607425,-1.2868479630596898,427.829
-2.9998724781099217,-1.5738345909531144,-1.2868478730510335,427.931
-2.9935860854492824,-1.5953763135902979,-1.2868477924035344,428.033
-2.9872997367850793,-1.6169178402944062,-1.2868477242416352,428.135
