odom_x,odom_y,imu_ax,imu_ay,kf_ax,kf_ay,kf_vx,kf_w,kf_x,kf_y,stamp
0.8745719790458679,2.2518820762634277,-0.16475141048431396,0.5308167934417725,-0.04009776041479973,0.21358352786786697,0.5063579053474551,0.4218034825017874,1.1548491439524113,2.0888111326111938,1731708285.7496412
0.8427417278289795,2.2818078994750977,-0.1878870725631714,-0.1443677544593811,-0.11777742401261238,0.12154634608132935,0.38841408082749634,0.3129298140334693,1.131653322970468,2.123256918678048,1731708285.8640976
0.8145895600318909,2.306645154953003,-0.0247461199760437,-0.11012983322143555,-0.07216160118124262,0.09952123740381517,0.35489769744002697,0.28042232486062535,1.1100132058385592,2.153133935390959,1731708285.9598997
0.7865554094314575,2.329768419265747,-0.5827237367630005,-0.35902929306030273,-0.32829736923308583,0.06422028963362227,0.3046454230287507,0.2108033956169482,1.0896601383332511,2.179936365687622,1731708286.0509324
0.752788245677948,2.3561763763427734,0.1984117031097412,0.27069616317749023,-0.06275332937014694,0.09885744548251765,0.3558140320597325,0.277834589350658,1.0668712381495173,2.20808249041937,1731708286.1613936
0.7212374806404114,2.3793721199035645,-0.26889729499816895,-0.08619391918182373,-0.1659062308149654,0.08914793633010001,0.339383963637677,0.2626757474766058,1.0440165255888934,2.2350381719098147,1731708286.2618356
0.6899691820144653,2.401049852371216,0.172563374042511,0.8994626998901367,0.007354154281702718,0.17950430009659274,0.4538011949690043,0.39555713401956405,1.0141419255407582,2.2681269389949597,1731708286.3590024
0.6594632267951965,2.4209423065185547,-0.22571128606796265,0.5757682919502258,-0.10764168339279354,0.2078147947855533,0.4909674917683053,0.4232760789050859,0.9798119165150259,2.303672307839831,1731708286.4509244
0.6228082776069641,2.442990303039551,-0.17243415117263794,0.6769605278968811,-0.13846522363098182,0.24442684317071206,0.5231040478652871,0.4672623814864043,0.9413862891612278,2.3401526978745415,1731708286.5608082
0.5887230634689331,2.462070941925049,-0.15948837995529175,0.18988019227981567,-0.15083427665870033,0.1778077437379276,0.45636321082595865,0.38961892527690495,0.9050327959976814,2.371808331253128,1731708286.6608963
0.554857075214386,2.480344533920288,0.3191421627998352,0.32450759410858154,0.08408119128722463,0.17027468328106338,0.4578571500459891,0.3718947782380602,0.8691618044437226,2.400449404426321,1731708286.7589278
0.5226759314537048,2.496486186981201,0.07591313123703003,0.7639801502227783,0.08218118271291229,0.24301308633122434,0.5270187543475487,0.4611089915236043,0.8285140285406966,2.430279253082601,1731708286.8511236
0.4875084161758423,2.5127012729644775,-0.3213169574737549,0.475192129611969,-0.1200587742463937,0.2241097889719853,0.5057928461232628,0.443086118535906,0.785893377596845,2.458992007617149,1731708286.9526782
0.44792523980140686,2.5294132232666016,0.035520076751708984,0.38159286975860596,-0.042631908603786864,0.19902357681742763,0.49055237935714274,0.4057132024886788,0.7430613285540368,2.4852029857117186,1731708287.0615222
0.41373392939567566,2.542703151702881,-0.3074492812156677,0.1999254822731018,-0.17663763031825047,0.17598992727756002,0.4291705840919481,0.4100698738473066,0.7038893789394118,2.50667395154672,1731708287.1580417
0.38369226455688477,2.5536699295043945,-0.1393967866897583,-0.20902717113494873,-0.16153132351990004,0.14036243245613161,0.3080355643112294,0.4556695677980671,0.674071112299965,2.520876912624633,1731708287.250528
0.35032838582992554,2.5633132457733154,-0.0016287565231323242,-0.04216623306274414,-0.08224080078480552,0.14247472774429235,0.2766070810269484,0.5150798280916451,0.6480037341656586,2.532091469821882,1731708287.3519282
0.3124031126499176,2.571524143218994,-0.05594968795776367,-0.1679908037185669,-0.07027134384898501,0.12227984153506535,0.2348194191283404,0.5207399029815051,0.6250355319094049,2.540734662518872,1731708287.4620223
0.2772500813007355,2.576423406600952,0.5965457558631897,-0.4133095145225525,0.2611515956686373,0.07496079991389107,0.19955538171113033,0.3756390795934625,0.6057899562261267,2.547139765775534,1731708287.5563447
0.2395826131105423,2.5805299282073975,0.0906863808631897,0.47566837072372437,0.18119412857325146,0.12425843148362782,0.37260729257694125,0.33348362729097464,0.5738516551609598,2.556917048470925,1731708287.6504495
0.20058351755142212,2.583723783493042,0.058728158473968506,-0.5002315640449524,0.11707876926139388,0.06407949384706085,0.3040066591783239,0.21078319146118824,0.5440638691684991,2.5644706942427145,1731708287.7502377
0.16609977185726166,2.585670232772827,0.14738214015960693,-0.35031431913375854,0.13179715064671638,0.068768140908722,0.30377164287299474,0.22638104155585578,0.5156150220897784,2.5707831505891328,1731708287.8413029
0.12058991193771362,2.5866665840148926,-0.1851699948310852,0.3315620422363281,-0.02467298386402378,0.11573665239320305,0.36317219309023524,0.3186825825193248,0.48115589552773774,2.5776070106125446,1731708287.9620185
0.08615504950284958,2.5860133171081543,-0.32269221544265747,0.19680416584014893,-0.17261026281716116,0.1251000031946367,0.38112038833872464,0.328242746970159,0.44261185229010236,2.5842121329188963,1731708288.0509892
0.04420291632413864,2.584043025970459,1.1063251495361328,0.5174309611320496,0.4681464887579656,0.1812563752103113,0.45022487379247467,0.40259076244165726,0.40104035549203354,2.5896098449690577,1731708288.1612537
0.003484363667666912,2.5807504653930664,-0.06326150894165039,-0.0740286111831665,0.20041108663767315,0.096188410834364,0.42004781413819126,0.2289939563944952,0.3607812875417355,2.593995864551449,1731708288.2603238
-0.03945827856659889,2.5773704051971436,-0.01024770736694336,0.23436731100082397,0.09543839095099697,0.06873561546901517,0.44469090772210884,0.15456941951232483,0.31727906868954053,2.5974376045519287,1731708288.3620255
-0.07779211550951004,2.574927806854248,-0.3356741666793823,-0.4542440176010132,-0.12120853067165198,-0.01393642979322624,0.4094460846355144,-0.034037276985155046,0.27450733482106954,2.6004921626167623,1731708288.4502728
-0.1251499205827713,2.5713348388671875,-0.45970553159713745,-0.27962660789489746,-0.2894291091880608,-0.04168646248429557,0.41619585580852575,-0.10016068613492818,0.23043037831613372,2.6032844889299076,1731708288.561219
-0.16708600521087646,2.5684854984283447,-0.42524421215057373,-0.5560950040817261,-0.3561090292479455,-0.05518020150354448,0.419212446357935,-0.13162825193513011,0.18529507540310003,2.606391938360209,1731708288.6607676
-0.20811714231967926,2.565499782562256,0.9567376375198364,-0.023913800716400146,0.2997114482547032,-0.013127504813401537,0.4166948965789138,-0.03150387710811679,0.14448812539535028,2.6092580527260085,1731708288.7619715
