e,e_dot,e_int,stamp
-2.3562154898486893,-3.848016789653741e-05,-0.11799158678251546,1731706875.7402196
-2.3562171119219313,-4.388707870302729e-05,-0.2365476243333737,1731706875.790536
-2.356206765861269,2.9079958068223277e-05,-0.23547095758262057,1731706875.8401558
-2.350566675241032,0.018834788936330504,-0.2346818858691382,1731706875.890217
-2.3329928707782503,0.0773796502767284,-0.21311745027309537,1731706875.930976
-2.3026991123151928,0.15955854308613127,-0.25763488271915014,1731706876.0008492
-2.2581052453277564,0.2496254181683133,-0.27376641578882005,1731706876.050112
-2.1973345069982106,0.351215351056607,-0.3142147623553879,1731706876.140332
-2.1973345069982106,0.20256912776515237,-0.20007089387366514,1731706876.140332
-2.113861658870926,0.27824282709094944,-0.3264249943168306,1731706876.2907922
-2.0138275489418045,0.6116898601880205,-0.5067255557981343,1731706876.380675
-1.909410520993485,0.6815037929248025,-0.40443089313761094,1731706876.491765
-1.8031672485802115,0.70220100120531,-0.4002680660163138,1731706876.5903711
-1.6904808690604314,0.7297655064435123,-0.3574540693746505,1731706876.6902382
-1.5794515053228684,0.7457191441911437,-0.3210175138825093,1731706876.7802064
-1.469659614672051,0.7360708479612676,-0.31616722523306773,1731706876.890361
-1.367718862381948,0.7057754764697344,-0.3103952107422611,1731706876.991033
-1.2679246874880392,0.6724497572800395,-0.2882964624292576,1731706877.1010373
-1.177539800544707,0.6339302061241366,-0.2408867541725319,1731706877.1805491
-1.095049634019429,0.5762501782287011,-0.22319105038436304,1731706877.2901547
-1.0142876669914003,0.5441737785110227,-0.22981526633935448,1731706877.3903062
-0.9403237973530878,0.5157527888878036,-0.20332422244264367,1731706877.490168
-0.8746247051204012,0.4655432062366634,-0.1980056267660041,1731706877.6002629
-0.8101705281274427,0.43384423075215023,-0.17503781885340014,1731706877.690202
-0.7477306357616884,0.42298023119570943,-0.15403045786756833,1731706877.7902267
-0.6942048198468083,0.3865523609354482,-0.15025365582424735,1731706877.8903532
-0.6473630798891539,0.3345585195751151,-0.14641393728891877,1731706878.0004609
-0.6039270107194112,0.30092603042465677,-0.1297000893544035,1731706878.0903537
-0.5609499905496351,0.28804363113172915,-0.11459386575261835,1731706878.1901603
-0.5179995193539653,0.28642497121815325,-0.11240448587757622,1731706878.290733
-0.48316882236281256,0.2592705606227419,-0.1095370600520422,1731706878.400523
-0.4587796422303736,0.19739959041197222,-0.09758895915864256,1731706878.4912653
-0.4365754711409835,0.1553111707394302,-0.08809468515205485,1731706878.5922384
-0.4129619444972925,0.15272565911027028,-0.09227147958442651,1731706878.702846
-0.39120194809955366,0.1512450768047661,-0.07847126290449913,1731706878.781975
-0.3826748419785324,0.100957008395867,-0.07417330653668129,1731706878.8903356
-0.3819204861719383,0.030938206425384546,-0.08068759404121419,1731706878.9914086
-0.38140625100349457,0.0042286365834594735,-0.07572073644078223,1731706879.088557
-0.38436832875167193,-0.00815947526577876,-0.07253546553240335,1731706879.1810114
-0.3950387096389094,-0.045441528784716155,-0.078033227545916,1731706879.2902257
-0.4001334965784933,-0.05255055942273786,-0.08224568212328483,1731706879.390192
-0.4024069681131248,-0.02456086158071802,-0.07914393306796044,1731706879.4884856
-0.41173157846356645,-0.03866027295024388,-0.08592798825261892,1731706879.6024873
-0.4170118842779078,-0.04868305388260996,-0.08278950727714629,1731706879.6902223
-0.4226169749902593,-0.03628465508897616,-0.07830181589770141,1731706879.7902071
-0.4302489764241604,-0.044123640487508574,-0.08357923542864389,1731706879.887673
-0.4348911948557266,-0.04091406621822428,-0.09073801915965392,1731706880.0015934
-0.43512909084312357,-0.016267048063210627,-0.08787882333985592,1731706880.0904279
-0.43241075698137443,0.008268126247840494,-0.08231954581730667,1731706880.1912072
-0.4329610169844891,0.007226912862114965,-0.08525437927658312,1731706880.287093
-0.4315396967453138,0.002903534120202167,-0.0907926595582159,1731706880.4012275
-0.42565161160909426,0.024364684584649392,-0.08735180420804872,1731706880.490213
-0.41934361522042796,0.04065360508295276,-0.08041299889766396,1731706880.5902073
-0.4144650145374964,0.0372886569053262,-0.0851379157406445,1731706880.6930091
-0.4163562689104525,0.009957821033251454,-0.08753586111439528,1731706880.8002656
-0.42337802849351114,-0.029710046520049122,-0.08322421017027996,1731706880.8920784
-0.4240654387006231,-0.02569723263390185,-0.08001886246710663,1731706880.9902136
-0.41966085761368355,0.012390569599425305,-0.0842401530359595,1731706881.0915256
-0.41660224446886485,0.024877314105860766,-0.0887901045274421,1731706881.2015636
-0.4187126335695499,0.0031607468137787955,-0.08521647012749811,1731706881.2952342
-0.3879263088988889,0.09558645189991981,-0.0753109252225482,1731706881.3862638
-0.3224556725536205,0.32085653671976466,-0.0725597580930816,1731706881.4880254
-0.27390219122028636,0.38008039226200846,-0.06887948131430172,1731706881.5962014
-0.2406193450338261,0.27278775839931474,-0.057527481042874126,1731706881.6942227
-0.21721441393050345,0.1889592576326097,-0.04735325587809196,1731706881.7903423
-0.19696388613616733,0.1455181963255292,-0.043061922222806116,1731706881.8915136
-0.1668812749041031,0.1677771300880012,-0.037019883675665104,1731706881.9814754
-0.12463266854113542,0.2411040586501064,-0.032735923852144834,1731706882.0925622
-0.09582795370021469,0.23684440401296136,-0.026981054516796152,1731706882.1904461
-0.0802473109190629,0.14795119207357507,-0.019940239245181148,1731706882.291495
-0.07532890534391257,0.06833016118767372,-0.015948872631216224,1731706882.3807635
-0.07262843196035362,0.025396263195697582,-0.015223893863413935,1731706882.49163
-0.06325368318793956,0.04025074051991003,-0.014776871156636565,1731706882.5906513
-0.042008951123967186,0.10206493612128813,-0.011849619520050385,1731706882.691465
-0.026304993363558182,0.12316229941460459,-0.008338635945403397,1731706882.7807887
-0.01972769495127835,0.07427085390896278,-0.0058769659047324795,1731706882.8917212
-0.0170439477203157,0.03087015214414161,-0.004408271912172775,1731706882.9904516
-0.016621206563709023,0.01035496129189776,-0.00355206775405295,1731706883.0913024
-0.01128595495337592,0.019193309223132598,-0.0028748908648643275,1731706883.1823192
-0.00027662064592881563,0.05448195305926736,-0.0018786004938372409,1731706883.2912686
0.010584260560552394,0.07290071837976105,-6.815678252857956e-05,1731706883.391322
0.022763946575157235,0.0768018907369535,0.0022055013524660133,1731706883.4913347
0.03484132632039838,0.08085688586615329,0.004316791375976568,1731706883.581239
0.041631091647657215,0.06289048357499993,0.006614592535136876,1731706883.6912994
0.04338904082334061,0.028492381676474093,0.008389458410589303,1731706883.7912178
0.0459959914961221,0.014549666161549624,0.008720319969648354,1731706883.8909767
0.05120112512322805,0.026040280999624816,0.009812115213263486,1731706884.0006008
0.05641527236017119,0.03473093621349695,0.010255601395622732,1731706884.0912654
0.05767877210398176,0.021592156602512347,0.010453817728998158,1731706884.190331
0.05697720091801095,0.0018730951927992123,0.01136180145765859,1731706884.290512
0.059190435325671586,0.005038877405632765,0.012172495687551618,1731706884.400387
0.06579562307744968,0.029394740531462443,0.01223655280953324,1731706884.4922545
0.07566022839895226,0.0548993102442689,0.012832912738902897,1731706884.5922606
0.0824098596039553,0.0553807884216854,0.01553212637146389,1731706884.700399
0.07904527531855621,0.011283489732013171,0.014886347054299535,1731706884.7806036
0.06841723557384238,-0.046642080100376404,0.014622324238015148,1731706884.8912306
0.05773690798418407,-0.07102789111457379,0.014412671679807703,1731706884.991316
0.05059131792291982,-0.059419725503075206,0.01165207999407003,1731706885.0890079
0.03301785889521369,-0.08239683029656793,0.00894566013508854,1731706885.1811829
0.015432235435168806,-0.11719694162583671,0.006676936694096985,1731706885.2912548
0.0019834819009290072,-0.10344792331428228,0.00353155542968466,1731706885.391255
-0.019266337287574764,-0.1156619090758119,-0.00012163756914436979,1731706885.4884388
-0.036564305536202824,-0.12849262479043944,-0.0034123726122170924,1731706885.5813692
-0.047067915166135066,-0.09267192626186767,-0.0069637503940993325,1731706885.6914666
