e,e_dot,e_int,stamp
1.4142432954345836,5.4535418705370375e-05,0.07082037671667109,1731706875.7402196
1.4142457822702674,6.282487098478266e-05,0.14197991178743946,1731706875.790536
1.4142318895008292,-3.80197791812383e-05,0.14133378673673624,1731706875.8401558
1.4148237704363587,0.0019266272203040853,0.1409921161995731,1731706875.890217
1.4171528135702656,0.00973641356478779,0.12854704021562635,1731706875.930976
1.4216940635166921,0.022900976934444966,0.15686420901310036,1731706876.0008492
1.430758096548802,0.045350943261788235,0.1695545157097802,1731706876.050112
1.4427787579641371,0.07028231482481662,0.19970364462788487,1731706876.140332
1.4427787579641371,0.04006887138445029,0.12980586581888182,1731706876.140332
1.4577580074492522,0.04993083161705029,0.21783207551668665,1731706876.2907922
1.4724215120915491,0.09880918042470672,0.35033698110284106,1731706876.380675
1.4869768567344046,0.0973961642838413,0.2959093900439386,1731706876.491765
1.5000640270603707,0.09214171656273844,0.31171045173879347,1731706876.5903711
1.5069033519020691,0.06642165055888179,0.29730912840854834,1731706876.6902382
1.5105374145603547,0.03491129166661352,0.28586037443551243,1731706876.7802064
1.5111508196289178,0.014158225756162324,0.30209187611393684,1731706876.890361
1.5082231239727601,-0.007714301958648602,0.3183420680149906,1731706876.991033
1.5024970215806959,-0.02884599349407324,0.31755009327528605,1731706877.1010373
1.4914020688343528,-0.05607018379469123,0.2844084607140615,1731706877.1805491
1.4741932321010986,-0.09434596493199073,0.2816648046862363,1731706877.2901547
1.4553418614293523,-0.12020069135000162,0.30910764839901966,1731706877.3903062
1.438168564487245,-0.12008222537951196,0.2911995534857185,1731706877.490168
1.4170171413766797,-0.12774906684224208,0.30167460810296143,1731706877.6002629
1.4018811978993209,-0.12095788862641399,0.2838529212814932,1731706877.690202
1.3931918190365853,-0.07941774113364793,0.26671460473657294,1731706877.7902267
1.374043601666897,-0.09279198744141255,0.278150770002192,1731706877.8903532
1.3532976374450523,-0.13298060530511005,0.2887588626146121,1731706878.0004609
1.3249817626999585,-0.1635394632231287,0.27015575964929534,1731706878.0903537
1.2913638021707037,-0.20644611758116196,0.25101351909247976,1731706878.1901603
1.2503419013791586,-0.24879953773599972,0.25826791886797196,1731706878.290733
1.2119862242215054,-0.2645919264973277,0.2632120561011605,1731706878.400523
1.1831462410524876,-0.2239855344222367,0.2436785782732865,1731706878.4912653
1.150251701109469,-0.2057817437067877,0.22656806587423678,1731706878.5922384
1.1119710247411372,-0.2372507210378346,0.2429910168780605,1731706878.702846
1.0726053006773286,-0.2588213347738015,0.21091308493881292,1731706878.781975
1.0377008045655298,-0.24756740058535787,0.20138115006328242,1731706878.8903356
1.0048805921863786,-0.22574902830316676,0.21747491949478084,1731706878.9914086
0.966883206324558,-0.23605866080323926,0.198846912763984,1731706879.088557
0.9285738676946752,-0.254355748305678,0.18330421473882189,1731706879.1810114
0.8918408143690153,-0.2501413065184758,0.18737022771024922,1731706879.2902257
0.8550829699860032,-0.2449696590289067,0.18655410550841584,1731706879.390192
0.8188751345506328,-0.2432189327279418,0.16956492084728608,1731706879.4884856
0.7830209061813147,-0.24020687934896165,0.173868174565987,1731706879.6024873
0.7444505704317439,-0.24808188039629622,0.15778159595395988,1731706879.6902223
0.7064284951723943,-0.2553080366964015,0.13978260703342124,1731706879.7902071
0.6693422169825453,-0.25036117816399545,0.1395460797546105,1731706879.887673
0.6321794052693444,-0.24749696634349969,0.14148429830437342,1731706880.0015934
0.5937522406531226,-0.2519665877647422,0.12809226660248405,1731706880.0904279
0.5521989955195435,-0.26660136583266936,0.11238591680533273,1731706880.1912072
0.5100260118086559,-0.27908742948155557,0.10855764589862682,1731706880.287093
0.4699865728550548,-0.27404140888162914,0.10726527408570888,1731706880.4012275
0.43345103010940117,-0.25524993899751586,0.09570079013765212,1731706880.490213
0.3973244637814928,-0.24220703024520673,0.08193914377716048,1731706880.5902073
0.3622774695823623,-0.23724520175679628,0.08064886793731878,1731706880.6930091
0.3267523423437802,-0.23524040479237526,0.07606593106290553,1731706880.8002656
0.2901395067778809,-0.2404598760149379,0.06497419700060963,1731706880.8920784
0.26129631704156214,-0.21818675100739351,0.05560344418574887,1731706880.9902136
0.23847577807415316,-0.17221242901242587,0.052515229350581644,1731706881.0915256
