x,y,theta,stamp
-1.44930680789912e-07,1.6870261276835663e-07,-1.6693325606460788e-06,1729888833.2791433
-1.6563511451295199e-07,1.9280301444268844e-07,-1.907759693219578e-06,1729888833.3252459
-1.6563511451295199e-07,1.9280301444268844e-07,-1.907767897284321e-06,1729888833.3877144
-1.6563511451295199e-07,1.9280301444268844e-07,-1.9077652892176828e-06,1729888833.4377387
-1.6563511451295199e-07,1.9280301444268844e-07,-1.9077595724314554e-06,1729888833.4897366
-1.6563511451295199e-07,1.9280301444268844e-07,-1.907754115351497e-06,1729888833.5331593
-1.6563511451295199e-07,1.9280301444268844e-07,-1.907746839244886e-06,1729888833.6040878
-1.6563511451295199e-07,1.9280301444268844e-07,-1.9077413821649274e-06,1729888833.6448598
-1.6563511451295199e-07,1.9280301444268844e-07,-1.9077377441116217e-06,1729888833.6836445
0.00034598883939906955,-1.8205395463155583e-05,-0.0010352387548339733,1729888833.7428305
0.008175048977136612,-0.0005916361697018147,-0.018957286321357507,1729888833.843744
0.013287853449583054,-0.0008267808007076383,-0.030473384954520972,1729888833.8837209
0.030867887660861015,-0.002221797127276659,-0.0746069575285156,1729888833.9838235
0.07377852499485016,-0.007384427823126316,-0.18002000629077317,1729888834.1424944
0.10460074990987778,-0.013710452243685722,-0.26390572052429984,1729888834.2437468
0.11480145901441574,-0.01668698340654373,-0.29067798647549387,1729888834.283748
0.13767319917678833,-0.02442033961415291,-0.3540451795581828,1729888834.3830216
0.1664673238992691,-0.03591165319085121,-0.4331505470480716,1729888834.4833887
0.21081995964050293,-0.059223756194114685,-0.5593550041874689,1729888834.643739
0.22076401114463806,-0.06555357575416565,-0.5896582755461335,1729888834.6837358
0.2456754595041275,-0.08352574706077576,-0.6682048262331882,1729888834.7828832
0.2769204378128052,-0.11046618223190308,-0.7792937338421618,1729888834.943073
0.2875162959098816,-0.12110795080661774,-0.8216270296750762,1729888835.0437534
0.29030144214630127,-0.12408487498760223,-0.8326203619388796,1729888835.0838861
0.2939817011356354,-0.12794654071331024,-0.8489784906039122,1729888835.1821783
0.2933315634727478,-0.12691496312618256,-0.8479233696603639,1729888835.34308
0.2934424579143524,-0.12718383967876434,-0.8474885878966282,1729888835.442974
0.2934293746948242,-0.12715572118759155,-0.8474885878966282,1729888835.483744
0.2951767146587372,-0.12944534420967102,-0.84912717903633,1729888835.5827405
0.3047031760215759,-0.140530064702034,-0.8526704327535267,1729888835.6939473
0.3285222053527832,-0.1683691442012787,-0.85976737180067,1729888835.843755
0.33718517422676086,-0.1781810224056244,-0.8623186066628341,1729888835.883745
0.35788553953170776,-0.20269140601158142,-0.869507102842914,1729888835.9828775
0.37949687242507935,-0.22871975600719452,-0.8750522966144068,1729888836.0942
0.3981895446777344,-0.25141602754592896,-0.8752217803842762,1729888836.1918833
0.4164349138736725,-0.27348366379737854,-0.8779767900365978,1729888836.2847621
0.43569430708885193,-0.2970186769962311,-0.8828593545111795,1729888836.3848333
0.45700863003730774,-0.32310253381729126,-0.8861977804585986,1729888836.4924738
0.4759393632411957,-0.3466550409793854,-0.8880162843910578,1729888836.5918703
0.49386537075042725,-0.36905351281166077,-0.8908583659700959,1729888836.6838005
0.5127439498901367,-0.3931524455547333,-0.8939239262260138,1729888836.7832613
0.531286358833313,-0.416110634803772,-0.8963062917569344,1729888836.8810596
0.5524203181266785,-0.44277703762054443,-0.8958628720493362,1729888836.9908314
0.5702484250068665,-0.4652222692966461,-0.8962533491639398,1729888837.083774
0.5891472697257996,-0.48929861187934875,-0.898350007554165,1729888837.1827693
0.6097788214683533,-0.5154435038566589,-0.9005238634917752,1729888837.2936246
