x,y,th,stamp
2.886366844177246,0.8000679016113281,1.215574677855833,1.569916421
2.8863675594329834,0.8000681400299072,1.2155802509096734,1.598499999
2.886364459991455,0.8000669479370117,1.215555485636507,1.661091556
2.886368751525879,0.8000685572624207,1.2155889106148177,1.701659898
2.8866689205169678,0.800460159778595,1.2196268052289583,1.75801384
2.887263536453247,0.8021654486656189,1.23336913691514,1.803651099
2.888266086578369,0.8054206371307373,1.2573177907502233,1.852658316
2.8902454376220703,0.8106136918067932,1.2861303324221647,1.900222979
2.8922712802886963,0.8170960545539856,1.31981420254787,1.948997723
2.8945326805114746,0.8264924883842468,1.3767504040561576,1.998728382
2.8961422443389893,0.8356709480285645,1.4295574272555924,2.049173693
2.8973429203033447,0.8450256586074829,1.4789929044329113,2.097388184
2.898019552230835,0.8545055985450745,1.5314849781835445,2.149797094
2.898219347000122,0.8625916242599487,1.5733216731691022,2.197843389
2.898109197616577,0.8729029893875122,1.621635670535374,2.252306475
2.897235631942749,0.8871598243713379,1.6915106093580266,2.300734327
2.8962950706481934,0.8961154222488403,1.733422810651294,2.349382071
2.894402503967285,0.9069362878799438,1.7843034538899485,2.396951373
2.8920862674713135,0.9175174236297607,1.8350104110700254,2.449547733
2.8894031047821045,0.9274682402610779,1.8839402152932587,2.497225544
2.885638952255249,0.938563346862793,1.934721212716349,2.548386752
2.8821842670440674,0.9475732445716858,1.978074810636875,2.596093827
2.8773374557495117,0.9583718776702881,2.027971678418153,2.652037122
2.8721344470977783,0.9691568613052368,2.0787556747031064,2.701472571
2.8647119998931885,0.9816775918006897,2.1385925287998186,2.74951821
2.8579611778259277,0.9920254349708557,2.188745979669049,2.797658659
2.8505961894989014,1.0023350715637207,2.238904396988512,2.848431247
2.842797040939331,1.0120314359664917,2.2858074596454867,2.89621326
2.8341174125671387,1.02176833152771,2.3352357489283415,2.947329971
2.826305389404297,1.0297389030456543,2.3767762439577425,2.996039058
2.8159704208374023,1.0392217636108398,2.4271660713729633,3.052436191
2.8053178787231445,1.048305869102478,2.4782412084892216,3.099830082
2.7934136390686035,1.0567437410354614,2.528977833345358,3.150049708
2.7779972553253174,1.066820740699768,2.5892562563460615,3.196185751
2.764827013015747,1.0744377374649048,2.639406910702203,3.246158001
2.750734329223633,1.0815249681472778,2.689418292376492,3.296310069
2.736330986022949,1.0881632566452026,2.7411795314239464,3.34740003
2.7242534160614014,1.0927929878234863,2.7815050746129955,3.396068546
2.7088656425476074,1.0982873439788818,2.8327929748093394,3.452052332
2.693112373352051,1.1028118133544922,2.881628249468057,3.502705438
