x,y,th,stamp
-0.6702768609121815,-6.127055636372413,0.0001019738006324933,1727910608.4972615
-0.6702768480993421,-6.127055625181541,0.00010197254514471464,1727910608.5312157
-0.6702768378890062,-6.127055615577903,0.00010197124038647786,1727910608.5650015
-0.6702768295803073,-6.127055608250328,0.00010196971294150809,1727910608.6000087
-0.6711350564795177,-6.127836878352773,0.00010230007427629092,1727910608.634991
-0.672848126882795,-6.129396290931291,0.00010339513200364145,1727910608.6671095
-0.6754158027463032,-6.131733117428928,0.00010523430010644808,1727910608.7011297
-0.6788381255492262,-6.134847339218292,0.00010777567186374529,1727910608.7353964
-0.6831152590600178,-6.138738960335569,0.0001110191451605534,1727910608.7698002
-0.6882474002029593,-6.14340775864751,0.00011489219772002217,1727910608.8057766
-0.6942346235496636,-6.148853582984017,0.00011930483232687913,1727910608.836725
-0.7010769914575001,-6.155076403555863,0.00012422050321103773,1727910608.8720126
-0.708774662153202,-6.1620760907220085,0.0001295951629763814,1727910608.9071636
-0.7173277785417405,-6.16985246739388,0.00013536362532327734,1727910608.9419556
-0.7267364180658765,-6.178405441441388,0.0001414806374731832,1727910608.9777746
-0.7370006846821301,-6.187734923777415,0.0001479123500158334,1727910609.0125597
-0.7481207205712024,-6.1978407676439495,0.00015462036011551736,1727910609.0469055
-0.7600966405672239,-6.208722842718178,0.00016155840427500674,1727910609.0820117
-0.7729285419692795,-6.220381050597285,0.00016867480680874953,1727910609.115254
-0.7866165434994333,-6.2328152731864686,0.00017591518967347323,1727910609.1506467
-0.8011607687616034,-6.24602537810635,0.00018323316024025657,1727910609.1819544
-0.8165613248707299,-6.260011252331266,0.00019060529110033708,1727910609.21581
-0.8328183212050336,-6.274772784537791,0.00019801322821057577,1727910609.2501733
-0.8499312134468369,-6.290309184133924,0.00020542502943619387,1727910609.2850204
-0.867899434739139,-6.306619669144401,0.00021288500043161043,1727910609.3190837
-0.8867240894644074,-6.32370509717387,0.00022037861406638533,1727910609.3528907
-0.9064053694187153,-6.341565380962389,0.0002278888643855097,1727910609.388489
-0.926943344907712,-6.3602003567391,0.00023537560858538756,1727910609.4217205
-0.9483380870228008,-6.379609895343133,0.00024277000089527028,1727910609.4565349
-0.9705896837770978,-6.399793842155835,0.0002500370079511334,1727910609.4904583
-0.9936982317456244,-6.420752039276193,0.00025717157079310364,1727910609.5236042
-1.0172268881117148,-6.442137731477963,0.0002602724303927009,1727910609.5570965
-1.0409654784616453,-6.464100807961201,0.0002694642443201295,1727910609.5914135
-1.0646885121073029,-6.486904187186942,0.00030284152180440766,1727910609.6271155
-1.0882314291805415,-6.510705883218947,0.0003731073317577281,1727910609.6616323
-1.11132546248067,-6.535535021447507,0.0005056302894982142,1727910609.6939297
