e,e_dot,e_int,stamp
2.6876398040644163,0.0,0.08135885428529846,1729890473.6654172
2.6876398040644163,0.0,0.1700045988657646,1729890473.7153728
2.6876398040644163,0.0,0.2596335815292303,1729890473.765463
2.6876398040644163,0.0,0.34851527400809523,1729890473.8145845
2.6876398040644163,0.0,0.4470912402579837,1729890473.8754957
2.6876398040644163,0.0,0.5277931699759336,1729890473.9046657
2.6876398040644163,0.0,0.6166890352753653,1729890473.974723
2.687012116029392,-0.004899232221151459,0.7176883472732298,1729890474.0174296
2.683501836548634,-0.029264560950165202,0.7988458815292359,1729890474.0654526
2.678612813695904,-0.05905395469554653,0.8836712563846149,1729890474.1124325
2.671675996690286,-0.07829296566396275,0.9727347523570455,1729890474.165461
2.6549277568292524,-0.10339973249424288,1.1022887232022847,1729890474.2588253
2.6125497696788926,-0.14819497050369548,1.3227541826829077,1729890474.4186223
2.5959795599697317,-0.19500500994060602,1.5058648407278636,1729890474.4704337
2.566690689041492,-0.20934498913036295,1.6314940147486034,1729890474.5654602
2.5332674349011506,-0.20428028480849383,1.8043866680991651,1729890474.6751804
2.5023885931182495,-0.2035245312291523,1.9800940760915,1729890474.7761078
2.4596769446108917,-0.2041656799548145,2.1770808961488948,1729890474.9154398
2.444741947954247,-0.20169738994440978,2.331391212648263,1729890474.9654655
2.4177597300930476,-0.198510293167404,2.4449289669915397,1729890475.0563195
2.370909746679401,-0.19712445649507923,2.642502496028737,1729890475.2154627
2.356498310103526,-0.19424301830135138,2.8067691254860447,1729890475.2654433
2.3279695341163773,-0.19024036883487216,2.9239513884065387,1729890475.3664727
2.3031495262210937,-0.18676578093345908,3.0700761311408935,1729890475.4557803
2.2585610978175197,-0.1857223536474729,3.2575209886973364,1729890475.6154518
2.2307069584032395,-0.18592669537367593,3.450607986433707,1729890475.7154562
2.216930344442976,-0.1811739625843011,3.56292729989986,1729890475.767445
2.1917764379444646,-0.18328479917806448,3.665422667492202,1729890475.855747
2.147884714723337,-0.18705521506276193,3.842376322977384,1729890476.0146003
2.1205310282512593,-0.18250269444034437,4.025952957406546,1729890476.1154604
2.1074047404469187,-0.1832275318488871,4.129915346906846,1729890476.162596
2.0693547522708196,-0.18171382046733586,4.260853850941187,1729890476.3052855
2.03941683286144,-0.17945979874691534,4.432756408630809,1729890476.4154663
2.0121669969370783,-0.17933196670707516,4.575295786717027,1729890476.5178015
1.9992927945872487,-0.180727526893406,4.67459232077393,1729890476.5644636
1.9739875344758597,-0.18354058098344503,4.765905952731926,1729890476.656577
1.9312444543817116,-0.18085864127665344,4.927929306590184,1729890476.8161511
1.9178484914749003,-0.17942440705705753,5.0616113355635175,1729890476.8656895
1.8901323337681895,-0.18342092896753578,5.15522255498251,1729890476.9647298
1.866763716442359,-0.17880157656911044,5.273529088820861,1729890477.0558152
1.833388130447448,-0.17888215166291363,5.402016597001138,1729890477.174976
1.8087043890164616,-0.18520039063790908,5.527874025817776,1729890477.264568
1.7815125791971085,-0.18240427526634861,5.640508527959666,1729890477.364648
1.7565477980238788,-0.1818156248131849,5.752504175285092,1729890477.4558449
1.7233098002246061,-0.1833930317609019,5.873960643115568,1729890477.576084
1.6837254646099844,-0.18679338039880541,6.019684985839359,1729890477.715491
1.669767410926218,-0.1876848312680198,6.125112331881552,1729890477.765501
1.6444604098147002,-0.18637023937999472,6.202067919292268,1729890477.8558817
1.5985333595284386,-0.18924845500491147,6.335275370879222,1729890478.0154939
1.5699413944994627,-0.1912214155887363,6.471133463122268,1729890478.1154928
1.5556407646422483,-0.1905749579275128,6.548934017109308,1729890478.1655295
1.5295811812806777,-0.1912983673853914,6.6205654556033116,1729890478.2559853
1.483434435839287,-0.19184455290433788,6.7446789993253375,1729890478.4165287
1.4543555330393914,-0.1937482490877854,6.870489176075707,1729890478.5155027
1.4399532718070946,-0.19391012263800947,6.942004175009103,1729890478.5655231
1.413647455276665,-0.1928404376209749,7.00823101655069,1729890478.656047
1.3657390189008731,-0.19456460792606442,7.123853989769545,1729890478.819502
1.3386229638092921,-0.19594186696397217,7.237841742082645,1729890478.9115062
1.3243128301930869,-0.19359130953757742,7.300539656448093,1729890478.961533
1.2917866863288963,-0.19411809651123577,7.3693483394084405,1729890479.071305
1.247626884493404,-0.1974112416452304,7.477058993426075,1729890479.2205305
1.2340178196461769,-0.19950078243481748,7.556942304430182,1729890479.265508
1.2045906503255275,-0.19895183032277233,7.615154020723614,1729890479.3655052
1.1563670169888587,-0.19891691657071695,7.7151525845882265,1729890479.5249374
1.1414220682915388,-0.1968548082297965,7.795549613611411,1729890479.5768127
1.0999726801108898,-0.1956408390937104,7.86542768695811,1729890479.7155187
1.0848193301425102,-0.2026427590406916,7.933312125685484,1729890479.764543
1.0574364441007438,-0.2022618938596885,7.983015110827023,1729890479.8565288
1.0220943404027,-0.20165853779818402,8.053539010465187,1729890479.9715412
0.9934199716836555,-0.20402228388295393,8.12277887414888,1729890480.065624
0.9635337623975615,-0.2003286011642821,8.185401789281169,1729890480.16652
0.9364643894990243,-0.199603388921602,8.244820875267393,1729890480.2559755
0.8910997704514342,-0.20070403073317264,8.31638158392892,1729890480.4074383
0.8582260496383282,-0.20062312904367485,8.39081461749191,1729890480.5161622
0.8437614551878821,-0.20407537428940845,8.434522586167171,1729890480.5628421
0.8154858891364675,-0.20449522292540792,8.472526534795024,1729890480.6559706
0.7666009172587921,-0.20319967732955568,8.537149385835486,1729890480.8157358
0.7363028115715566,-0.20317755997756612,8.600858468394188,1729890480.9155476
0.7213673576360027,-0.20282501959051338,8.63663656694814,1729890480.9645288
0.6935790876567625,-0.20324004305596813,8.669038429285168,1729890481.0556982
0.6450685700621472,-0.20195572127500236,8.723288033111928,1729890481.2168255
0.6144090152018469,-0.2015938824991292,8.776962135588544,1729890481.317775
0.59987443552162,-0.20470042586430726,8.806511212636742,1729890481.364602
0.5722397896446,-0.2040080034463281,8.832918771360921,1729890481.456218
0.5358446020447251,-0.20180372046072645,8.87068249363658,1729890481.5760274
0.5082690212920494,-0.20347420954291784,8.906216518163182,1729890481.6659539
0.47752702423607407,-0.20503636218714982,8.936394361033521,1729890481.7656157
0.45005952796683835,-0.2040112201753099,8.964919624030886,1729890481.856097
