odom_x,odom_y,imu_ax,imu_ay,kf_ax,kf_ay,kf_vx,kf_w,kf_x,kf_y,stamp
0.5142161846160889,1.4023492336273193,-0.339375376701355,-0.4099694490432739,-0.03239720454857603,-0.05026338726597789,0.108142457191902,-0.4647886553639522,0.4696681637082489,1.3340464112384482,1732916073.1279507
0.5151844024658203,1.4105186462402344,-0.03672480583190918,0.060455381870269775,-0.03584698922395998,-0.04299462873050394,0.059110282809410664,-0.7273629339438548,0.4700112337052048,1.3420225301284794,1732916073.228129
0.5166789889335632,1.4174413681030273,-0.2828131318092346,-0.09442895650863647,-0.18784453422252012,-0.04449495578267937,0.08580459856659695,-0.5185614352375854,0.47061168668718073,1.3502520658909634,1732916073.3206995
0.5190035700798035,1.4254428148269653,0.15406930446624756,-0.2102300524711609,0.02437022691025545,-0.05213769915721176,0.12726581492108702,-0.40967560054945223,0.4721731030806796,1.3613622766066713,1732916073.4187152
0.5213793516159058,1.432868242263794,0.13342714309692383,0.08334499597549438,0.09078851587870582,-0.036085478107887536,0.0775201546985402,-0.46549801465459495,0.4741707449285097,1.3709935492302363,1732916073.508008
0.5249671339988708,1.4432153701782227,0.08933818340301514,0.0521121621131897,0.08953129595891066,-0.030780974430073188,0.06603015126776113,-0.4661654386532026,0.475769398040589,1.377463085638617,1732916073.6288826
0.5280017256736755,1.4507791996002197,0.6683924794197083,-0.49038225412368774,0.44924665612409065,-0.0990677063261454,0.20348700958317847,-0.4868502737795158,0.4791990187512452,1.3895784194804104,1732916073.7186563
0.5322088003158569,1.4605224132537842,-0.3538745641708374,0.23620545864105225,-0.04987615209356072,-0.04230760372953919,0.0663348236719016,-0.6377887418348567,0.48325572566812114,1.400450006615952,1732916073.8184023
0.5356859564781189,1.4674161672592163,0.38295549154281616,-0.017910122871398926,0.21758034026769318,-0.03651047362984616,0.07363902932649385,-0.49580329838365245,0.48588492664181177,1.4069632590495915,1732916073.908895
0.540956437587738,1.4756556749343872,0.0746389627456665,-0.2733162045478821,0.13021107850326274,-0.07360606323356764,0.14506253227882474,-0.5074091984833782,0.4901313820499558,1.4160295331796418,1732916074.0291727
0.5456809997558594,1.4822568893432617,-0.28230470418930054,-0.13049006462097168,-0.1249690073675584,-0.06791891020548285,0.13257447153512758,-0.5123076065778375,0.4966841226281799,1.4281261387940696,1732916074.1178932
0.5511777400970459,1.489526629447937,-0.1140785813331604,-0.10016930103302002,-0.11831930209189905,-0.059587488981170424,0.11562238388320357,-0.5153629165902942,0.5036206407330903,1.4394935233738886,1732916074.2178783
0.5574083924293518,1.496866226196289,-0.34671324491500854,-0.03010261058807373,-0.2596664889903458,-0.0426934638517889,0.08646680983874826,-0.49375551071454854,0.5096930602370356,1.4483839363161872,1732916074.32857
0.5633160471916199,1.5030937194824219,0.02177339792251587,0.048546552658081055,-0.08596909166982797,-0.02598196405839554,0.055572802159432805,-0.46753021350004786,0.5145766080898275,1.4547948324523288,1732916074.4298375
0.5691013336181641,1.508760690689087,-0.31015586853027344,0.21804577112197876,-0.2250937434591427,-0.0037330791564945238,0.008131694704010838,-0.45907763293833914,0.5170811456158955,1.4577405545342845,1732916074.5187383
