e,e_dot,e_int,stamp
0.868692283629558,-0.0017996843817236208,0.17381044410118052,1732916054518405622
0.8688078650713831,-0.0014144129089732616,0.17378215584300105,1732916054617369383
0.868890363828563,0.0006602673300167469,0.17375936750196697,1732916054727666330
0.8689738699059222,0.0005533494484636728,0.1737781399203912,1732916054827642187
0.8684171212270375,-0.0015774753384182698,0.17375209033076816,1732916054918447765
0.8637649746386873,-0.017362984224116307,0.1734103977181098,1732916055017428806
0.8505747981102963,-0.05947441038913722,0.17218379293173475,1732916055108185185
0.8043118987717506,-0.1981769195564557,0.16791011143471563,1732916055228397657
0.788050665894132,-0.20841377405388126,0.16286249085174526,1732916055317491287
0.7729579967293447,-0.10451300680801949,0.1576880374263485,1732916055416843072
0.7632230874551453,-0.08275859479662213,0.1549487833385748,1732916055527519171
0.7453859125255898,-0.09190694734584966,0.15210446644733866,1732916055627932287
0.7150567012391974,-0.16055462071982643,0.14824438008132884,1732916055717764703
0.680551381794539,-0.2161151024368361,0.14273293303728843,1732916055817363789
0.6524858991183263,-0.20856934040290356,0.13653959881013752,1732916055908929469
0.6256068590631654,-0.18314840910457875,0.13057627599840205,1732916056028656148
0.5959526537693466,-0.18844415116326582,0.12493636079672256,1732916056117702087
0.5584402745265297,-0.22388861512211902,0.11866665249060278,1732916056218786953
0.5229618529255672,-0.24330266947926468,0.11182365208142955,1732916056327610195
0.5028630123770146,-0.1852575404983836,0.10561767598860743,1732916056427576576
0.49454640335961264,-0.09471816521984848,0.1013580845774796,1732916056518432377
0.48156351372524,-0.07099832883924868,0.09859819529745781,1732916056617512136
0.46139744185609866,-0.11049653834504662,0.09583382392939675,1732916056727043808
0.3398144213249814,-0.47249697466752855,0.08551835846042133,1732916056829428770
0.30040920061496446,-0.5366274708037807,0.07344140425306964,1732916056917450545
0.2650509626169294,-0.24921152902684005,0.06035163897045835,1732916057018567345
0.230486640441816,-0.23307520057716155,0.05306312024491399,1732916057126952141
0.19253342080185143,-0.24172513938359322,0.045871401590706455,1732916057223793062
0.15348736804901153,-0.25666424130934823,0.03843382861951193,1732916057317448592
0.1124602988815796,-0.2669104064009061,0.030565405848829504,1732916057418562563
0.06925868248113498,-0.2807622852262552,0.02234708996078174,1732916057526887265
0.026526736441490284,-0.28644520813363106,0.013883047853613658,1732916057624471134
-0.017254570810057768,-0.2883775109706425,0.005235389874171166,1732916057717474520
-0.1396633908674345,-0.5539670910297493,-0.0086927483490668,1732916057819531444
-0.1640699411907648,-0.4893845679356901,-0.02139919352455047,1732916057908728520
-0.18291150763532749,-0.14416038922630992,-0.032442989312901786,1732916058007544531
-0.19824144010252487,-0.1139049963725336,-0.03634819259524114,1732916058117459136
-0.2068294395109196,-0.07972643958530701,-0.03919882581658479,1732916058215613230
-0.20899165594764713,-0.03583405281707419,-0.04093750237073944,1732916058328341657
-0.20629629539634353,0.0017771470485868541,-0.04147449272366068,1732916058408687327
-0.23487385002621597,-0.08627398026189614,-0.04334412009134711,1732916058518510007
-0.20504875624237906,0.00415846384654824,-0.0430812601109959,1732916058616613794
-0.17446073516697969,0.2013770495307876,-0.04095888942903832,1732916058730636434
-0.147799218280524,0.19083179320618351,-0.03515391397932552,1732916058826986022
-0.12324737693216326,0.17071119411605476,-0.029700488691977795,1732916058918638779
-0.1005096100686328,0.1576320273729707,-0.024770413685421336,1732916059018582159
-0.08226840821748327,0.1365965623822666,-0.020401693014551955,1732916059128015144
-0.0635831012802407,0.12308836262797367,-0.016424074637757118,1732916059227923816
-0.04406424049147606,0.12734722575335736,-0.012661049999280001,1732916059318488352
-0.05116191135889714,0.04140396640447852,-0.010587283542040925,1732916059418757289
-0.04345535188991001,0.0020296286718868295,-0.009245433582685546,1732916059507855813
-0.03535458670449454,0.052691082181342,-0.008664789996886779,1732916059628380224
-0.02762074266689729,0.05278203074337573,-0.007095378750753456,1732916059718517215
-0.02410350180465104,0.037503616332811664,-0.005805255411736192,1732916059818741440
-0.024061465504942925,0.011864257206514553,-0.005052380665099417,1732916059928107994
-0.025204842069852962,-0.0036711342173397408,-0.0048913206252964615,1732916060028375073
-0.02711272466418746,-0.01017086386414845,-0.005091935482598889,1732916060118712930
